"output_yield","planted_area","harvested_area","production_ton","yield_ha_area","sale_price","fertilizer_use","cost","Temp","RainDay","Rainfall"
345,416255,395464,143608,363,3824.46,12.17,1000,12,3,8
384,1027392,1022143,394519,386,3824.46,12.94,1000,30,4,2
709,153169,152101,108597,714,3824.46,50.72,1000,30,1,8
411,200959,200838,82594,411,3824.46,27.43,1000,9,3,1
610,453407,449818,276578,615,3824.46,47.94,1000,20,2,2
400,512799,511838,205120,401,3824.46,48.36,1000,2,8,7
257,1427582,1412578,366889,260,3824.46,10.61,1000,29,0,10
468,1012290,1006901,473752,471,3824.46,24.57,1000,23,9,1
235,146333,145016,34388,237,3824.46,8.14,1000,5,2,3
286,99450,99146,28443,287,3824.46,16.01,1000,25,8,8
365,147482,146849,53831,367,3824.46,14.47,1000,4,12,1
370,236633,235123,87554,372,3824.46,10.51,1000,10,5,0
562,119781,118962,67317,566,3824.46,34.5,1000,2,6,3
352,57464,57207,20227,354,3824.46,31.32,1000,24,0,10
584,406050,397887,237133,596,3824.46,40.3,1000,8,7,8
254,364504,307973,92584,301,3824.46,26.71,1000,28,9,1
326,486797,479996,158696,331,3824.46,22.68,1000,28,0,8
417,5393,5393,2249,417,3824.46,6.12,1000,5,16,1
408,320693,310447,130843,421,3824.46,20.87,1000,26,4,10
286,92890,86506,26567,307,3824.46,5.68,1000,29,17,8
243,145212,133319,35287,265,3824.46,19.59,1000,8,13,4
267,22483,22105,6003,272,3824.46,9.79,1000,9,10,0
218,384634,317898,83850,264,3824.46,10.61,1000,15,17,6
268,39943,39603,10705,270,3824.46,12.65,1000,4,15,6
316,3444,3444,1088,316,3824.46,20.33,1000,30,15,1
225,102413,101154,23043,228,3824.46,18.71,1000,15,17,4
245,120597,118607,29546,249,3824.46,24.25,1000,25,1,2
236,1010965,814595,238588,293,3824.46,12.92,1000,1,16,1
359,454469,437133,163154,373,3824.46,19.09,1000,1,10,9
249,402658,366246,100262,274,3824.46,9.55,1000,7,11,9
277,92541,89548,25634,286,3824.46,9.25,1000,18,10,4
263,198863,184118,52301,284,3824.46,15.37,1000,25,8,3
295,69906,68131,20622,303,3824.46,12.77,1000,10,7,4
259,196812,183010,50974,279,3824.46,14.79,1000,14,11,7
491,262878,261288,129073,494,3774,10.54,1000,10,12,10
452,174041,167164,78667,471,3774,8.57,1000,20,0,9
474,15886,15763,7530,478,3774,10.47,1000,0,11,3
448,20745,20599,9294,451,3774,14.97,1000,10,0,3
587,144931,144671,85074,588,3774,7.23,1000,16,9,7
444,87109,86409,38676,448,3774,2.2,1000,15,5,2
368,156013,152305,57413,377,3774,7.87,1000,6,1,7
251,1337505,1172924,335714,286,3774,12.65,1000,19,6,10
279,777431,769060,216903,282,3774,12.65,1000,30,0,5
564,557,557,314,564,3774,10.96,1000,11,12,8
414,357255,354084,147904,418,3774,6.7,1000,18,11,10
241,1147340,1001398,276509,276,3774,10.2,1000,7,6,0
214,1683610,1033983,360293,348,3774,13.55,1000,13,7,1
206,2291668,1580949,472084,299,3774,9.71,1000,21,2,9
187,600988,511684,112385,220,3774,5.52,1000,10,12,10
272,965601,767393,262643,342,3774,4.29,1000,22,11,2
287,11228,11128,3222,290,3774,3.35,1000,8,10,8
269,452980,427368,121852,285,3774,9.03,1000,29,17,9
225,182545,160147,41073,256,3774,8.11,1000,15,0,8
264,307739,265170,81243,306,3774,7.95,1000,24,14,10
218,231564,206488,50481,244,3774,8.14,1000,22,1,9
326,49514,49232,16142,328,3774,12.27,1000,16,9,5
245,499789,489966,122448,250,3774,14.43,1000,13,17,1
262,1550285,1537612,406175,264,3774,12.08,1000,2,11,8
311,1899122,1897013,590627,311,3774,16.19,1000,15,9,2
271,2384198,2363353,646118,273,3774,17.39,1000,21,3,9
262,2238067,2206347,586374,266,3774,11.25,1000,10,1,4
263,399637,376265,105105,279,3774,16.31,1000,7,9,9
249,1142290,1058086,284430,269,3774,16.06,1000,19,4,7
327,180083,160349,58887,367,3774,10.7,1000,22,16,3
255,287887,260678,73411,282,3774,10.04,1000,9,11,3
193,693465,343194,133839,390,3774,5.73,1000,30,12,0
153,2384756,1625770,364868,224,3774,9.63,1000,12,6,10
181,530804,369410,96076,260,3774,20.71,1000,5,8,3
191,980654,662208,187305,283,3774,9.28,1000,19,4,8
284,387086,350612,109932,314,3774,22.86,1000,15,5,10
249,879578,847740,219015,258,3774,21.77,1000,6,13,8
282,992064,792944,279762,353,3774,30.29,1000,16,14,9
238,417518,270870,99369,367,3774,9.03,1000,16,0,4
121,883134,537604,106859,199,3774,16.58,1000,4,11,7
393,154282,135639,60633,447,3774,46.98,1000,20,13,3
145,202005,64725,29291,453,3774,18.5,1000,6,12,9
241,390272,218207,94056,431,3774,42.16,1000,22,0,4
111,483174,229060,53632,234,3774,34.75,1000,20,13,7
123,1082765,739122,133180,180,3774,10.88,1000,6,6,7
298,895128,753525,266748,354,3774,25.85,1000,9,14,2
358,116746,115164,41795,363,3774,14.52,1000,17,12,7
345,88029,87995,30370,345,3774,13.1,1000,19,8,5
328,83916,78740,27524,350,3774,17.27,1000,10,13,7
262,167932,160092,43998,275,3774,13.12,1000,24,5,8
423,87330,83962,36941,440,3774,35.29,1000,11,14,5
368,56356,49832,20739,416,3774,23.49,1000,19,14,1
261,407660,328806,106399,324,3774,32.64,1000,4,15,10
238,302890,248791,72088,290,3774,15.14,1000,13,9,7
317,487181,475143,154436,325,3774,11.82,1000,23,10,4
436,6401,6401,2791,436,3774,9.06,1000,18,5,0
402,310398,307304,124780,406,3774,21.67,1000,3,16,0
272,72802,66474,19802,298,3774,5.74,1000,26,17,5
224,95593,90110,21413,238,3774,16.49,1000,3,14,5
229,27178,27134,6224,229,3774,3.18,1000,15,2,10
221,323000,297784,71383,240,3774,8.29,1000,1,11,2
283,27044,26830,7653,285,3774,11.86,1000,13,2,3
384,2679,2679,1029,384,3774,20.9,1000,5,0,3
233,73433,72080,17110,237,3774,13.04,1000,14,10,7
254,101531,100846,25789,256,3774,12.27,1000,13,16,6
170,1046256,869450,177864,205,3774,11.19,1000,19,6,8
380,406739,401418,154561,385,3774,17.56,1000,16,4,8
246,399676,392655,98320,250,3774,11.96,1000,22,7,4
317,87003,86489,27580,319,3774,10.08,1000,3,15,7
317,210547,209701,66743,318,3774,10.46,1000,16,2,5
350,69208,69154,24223,350,3774,11.94,1000,21,15,0
328,101879,101385,33416,330,3774,11.16,1000,5,1,4
480,281377,259688,135061,520,3921.48,11.1,1001.25,16,1,4
402,163735,153563,65821,429,3921.48,10.2,1001.25,8,12,7
489,34194,34194,16721,489,3921.48,10.93,1001.25,9,1,7
490,69466,69466,34038,490,3921.48,17.1,1001.25,30,13,9
668,142029,142029,94875,668,3921.48,11.18,1001.25,17,14,1
480,53638,53638,25746,480,3921.48,0.6,1001.25,17,4,5
413,137192,130133,56660,435,3921.48,10.08,1001.25,28,15,4
435,1205689,1153166,524475,455,3921.48,19.83,1001.25,27,11,2
276,708891,659198,195654,297,3921.48,8,1001.25,21,11,3
418,20710,20710,8657,418,3921.48,14.84,1001.25,26,0,10
401,302780,299568,121415,405,3921.48,9.54,1001.25,24,12,6
373,1102857,1066255,411366,386,3921.48,14.2,1001.25,26,13,3
314,1580993,1167918,496432,425,3921.48,12.18,1001.25,5,6,8
322,2197443,2050445,707577,345,3921.48,10.95,1001.25,30,12,1
261,522003,435274,136243,313,3921.48,6.16,1001.25,13,2,9
276,923510,827600,254889,308,3921.48,5.61,1001.25,12,2,1
469,83105,83105,38976,469,3921.48,6.21,1001.25,5,0,3
262,485556,358176,127216,355,3921.48,9.59,1001.25,26,4,6
221,293028,140931,64759,460,3921.48,6.67,1001.25,26,3,6
235,330201,276593,77597,281,3921.48,7.62,1001.25,22,17,3
269,256191,181145,68915,380,3921.48,7.98,1001.25,26,13,0
368,51887,49822,19094,383,3921.48,11.69,1001.25,7,5,8
209,565337,493700,118155,239,3921.48,20.49,1001.25,9,8,2
236,1336337,1246707,315376,253,3921.48,11.87,1001.25,22,10,6
294,1818488,1798251,534635,297,3921.48,21.11,1001.25,1,17,0
245,2284232,2256199,559637,248,3921.48,21.36,1001.25,25,0,7
235,2048550,2048550,481409,235,3921.48,13.23,1001.25,13,8,4
244,499706,460648,121928,265,3921.48,15.62,1001.25,16,10,4
235,1340352,1160717,314983,271,3921.48,16.17,1001.25,17,14,3
238,190071,152229,45237,297,3921.48,11.07,1001.25,15,10,7
225,350839,347124,78939,227,3921.48,9.36,1001.25,30,1,4
328,745721,643706,244596,380,3921.48,5.42,1001.25,19,13,10
283,2669693,2570485,755523,294,3921.48,17.13,1001.25,29,15,1
424,507665,507665,215250,424,3921.48,23.19,1001.25,3,14,1
389,964298,964298,375112,389,3921.48,8.62,1001.25,25,7,0
487,392654,380024,191222,503,3921.48,26.57,1001.25,13,1,3
460,855062,810591,393329,485,3921.48,24.06,1001.25,13,11,0
522,972188,930810,507482,545,3921.48,37.49,1001.25,18,14,2
427,409403,409403,174815,427,3921.48,14.77,1001.25,23,14,9
394,862508,859611,339828,395,3921.48,22.4,1001.25,13,9,7
664,135883,135883,90226,664,3921.48,70.85,1001.25,22,17,6
440,139505,136746,61382,449,3921.48,18.14,1001.25,22,15,7
561,364266,340731,204353,600,3921.48,51.69,1001.25,0,3,5
368,456758,450841,168087,373,3921.48,34.59,1001.25,10,11,5
353,1215732,1150178,429153,373,3921.48,26.13,1001.25,5,2,8
441,913033,843709,402648,477,3921.48,34.3,1001.25,4,10,3
394,89593,87144,35300,405,3921.48,23.03,1001.25,9,4,6
330,74792,71536,24681,345,3921.48,22.22,1001.25,18,3,6
347,73129,73129,25376,347,3921.48,15.59,1001.25,26,17,3
287,158488,153440,45486,296,3921.48,16.89,1001.25,9,0,8
541,63422,63422,34311,541,3921.48,33.33,1001.25,0,14,0
455,53185,53185,24199,455,3921.48,26.7,1001.25,28,9,6
621,385411,372361,239340,643,3921.48,41.8,1001.25,10,9,0
350,289297,279140,101254,363,3921.48,17.68,1001.25,0,0,9
358,450536,442492,161292,365,3921.48,14.76,1001.25,4,16,9
450,6416,6225,2887,464,3921.48,14.96,1001.25,25,15,6
362,315983,315983,114386,362,3921.48,24.01,1001.25,12,15,6
283,57354,57354,16231,283,3921.48,11.04,1001.25,24,3,6
294,102442,102442,30118,294,3921.48,30.36,1001.25,29,16,5
267,17564,17564,4690,267,3921.48,4.95,1001.25,0,15,8
299,348861,343018,104309,304,3921.48,17.23,1001.25,3,9,0
240,22524,22439,5406,241,3921.48,11.68,1001.25,17,13,2
270,2478,2478,669,270,3921.48,22.2,1001.25,21,7,10
269,61669,61269,16589,271,3921.48,20.79,1001.25,19,13,2
254,121841,109344,30948,283,3921.48,10.9,1001.25,30,8,1
291,922816,870421,268539,309,3921.48,15.62,1001.25,16,9,9
390,454186,454186,177133,390,3921.48,28.46,1001.25,13,15,10
315,419980,393550,132294,336,3921.48,17.72,1001.25,20,4,1
351,101949,101949,35784,351,3921.48,9.61,1001.25,3,5,2
330,199656,189347,65886,348,3921.48,17.3,1001.25,3,14,5
323,71568,71568,23116,323,3921.48,17.2,1001.25,17,6,4
357,154823,153261,55272,361,3921.48,12.32,1001.25,27,2,7
247,83837,78124,20708,265,3379.62,12.96,1000.56,2,1,10
179,54714,46765,9794,209,3379.62,11.27,1000.56,15,13,5
416,11078,10728,4608,430,3379.62,11.96,1000.56,23,5,5
342,18389,17972,6289,350,3379.62,20.36,1000.56,1,0,0
340,138861,134625,47213,351,3379.62,11.06,1000.56,27,11,2
420,98584,97513,41405,425,3379.62,2.96,1000.56,21,16,8
382,162011,161812,61888,382,3379.62,9.07,1000.56,4,5,1
510,1272031,1236540,648736,525,3379.62,22.43,1000.56,16,14,10
341,808755,795316,275785,347,3379.62,14.1,1000.56,9,1,4
355,6854,6854,2433,355,3379.62,14.17,1000.56,8,8,6
157,1957,1957,307,157,3379.62,5.49,1000.56,20,11,0
392,393139,381008,154110,404,3379.62,10.62,1000.56,4,17,0
417,1006373,974055,419658,431,3379.62,20.19,1000.56,26,12,3
355,1487837,1460285,528182,362,3379.62,20.51,1000.56,12,9,10
344,2082613,2023816,716419,354,3379.62,14.62,1000.56,5,0,7
238,499926,497297,118982,239,3379.62,9.13,1000.56,3,1,10
376,834653,806158,313830,389,3379.62,5.76,1000.56,1,1,10
287,3935,3589,1129,315,3379.62,5.11,1000.56,29,6,3
239,310159,285225,74128,260,3379.62,10.48,1000.56,16,15,7
217,137830,110828,29909,270,3379.62,6.88,1000.56,16,14,6
234,180557,157672,42250,268,3379.62,9.93,1000.56,14,14,8
271,170253,151247,46139,305,3379.62,11.01,1000.56,22,3,10
251,34555,31485,8673,275,3379.62,16.62,1000.56,21,8,3
288,546407,546249,157365,288,3379.62,18.2,1000.56,13,7,10
244,1622475,1583632,395884,250,3379.62,17.03,1000.56,13,17,7
255,2241047,2233321,571467,256,3379.62,18.79,1000.56,22,13,0
253,2760633,2664490,698440,262,3379.62,23.67,1000.56,27,0,7
230,2169762,2144439,499045,233,3379.62,12.78,1000.56,4,11,0
246,402016,369225,98896,268,3379.62,14.82,1000.56,19,1,8
278,1311170,1266200,364505,288,3379.62,21.2,1000.56,14,12,10
282,157710,130181,44474,342,3379.62,12.87,1000.56,18,16,2
199,252330,195361,50214,257,3379.62,13.02,1000.56,10,12,9
304,672971,644972,204583,317,3379.62,9.8,1000.56,11,12,2
257,2489423,2044518,639782,313,3379.62,17.85,1000.56,9,5,1
356,415231,397722,147822,372,3379.62,29.83,1000.56,8,5,4
291,947313,592253,275668,465,3379.62,13.27,1000.56,18,11,10
500,382396,380987,191198,502,3379.62,25.14,1000.56,25,2,8
459,823936,821971,378187,460,3379.62,29.13,1000.56,6,14,0
537,977004,969391,524651,541,3379.62,38.58,1000.56,4,11,0
380,399938,381994,151976,398,3379.62,16.28,1000.56,5,15,10
407,893954,890695,363839,408,3379.62,20.76,1000.56,30,7,7
729,123172,123172,89792,729,3379.62,51.26,1000.56,6,15,10
477,110816,107695,52859,491,3379.62,37.07,1000.56,24,4,8
655,270143,269914,176944,656,3379.62,53.04,1000.56,18,1,6
398,427222,426025,170034,399,3379.62,31.68,1000.56,5,6,1
257,1073223,1055784,275818,261,3379.62,25.68,1000.56,14,12,5
446,888080,856812,396084,462,3379.62,30.53,1000.56,12,13,2
312,79924,79195,24936,315,3379.62,20.86,1000.56,30,5,6
353,65159,64742,23001,355,3379.62,26.06,1000.56,24,16,9
327,76004,75767,24853,328,3379.62,19.25,1000.56,27,2,9
328,176622,165820,57932,349,3379.62,14.28,1000.56,23,3,1
495,58489,48734,28952,594,3379.62,30.81,1000.56,29,8,9
498,48782,5961,24293,4075,3379.62,34.36,1000.56,21,15,9
678,343968,333189,233210,700,3379.62,48.41,1000.56,19,9,6
336,349830,342128,117543,344,3379.62,23.65,1000.56,21,8,9
353,408769,378008,144295,382,3379.62,20.77,1000.56,7,6,6
448,5971,5971,2675,448,3379.62,22.61,1000.56,25,12,10
393,330445,324613,129865,400,3379.62,24.26,1000.56,3,2,7
355,52940,51662,18794,364,3379.62,8.61,1000.56,7,4,7
307,131849,124056,40478,326,3379.62,25.52,1000.56,3,10,6
314,16461,16461,5169,314,3379.62,8.86,1000.56,16,11,4
275,311067,273024,85543,313,3379.62,12.41,1000.56,1,16,8
253,21452,20844,5427,260,3379.62,14.52,1000.56,0,14,4
353,1549,1549,547,353,3379.62,30.34,1000.56,0,16,9
227,48957,46389,11113,240,3379.62,20.2,1000.56,4,0,9
272,101196,97294,27525,283,3379.62,18.44,1000.56,18,17,1
304,908568,900976,276205,307,3379.62,23.57,1000.56,11,5,3
372,439734,429298,163581,381,3379.62,24.63,1000.56,19,4,10
326,377278,370910,122993,332,3379.62,22.35,1000.56,9,4,4
299,104442,103361,31228,302,3379.62,19.36,1000.56,12,6,6
328,210139,205725,68926,335,3379.62,18.37,1000.56,4,11,7
272,68499,65988,18632,282,3379.62,17.12,1000.56,25,10,1
293,126654,124371,37110,298,3379.62,14.1,1000.56,27,15,4
250,201293,186851.67,50323,269,3820.43,16.09,1012.72,1,9,2
199,144936,123790,28842,233,3820.43,10.53,1012.72,9,15,6
267,15303,14178,4086,288,3820.43,15.99,1012.72,8,9,0
281,26803,25838,7532,292,3820.43,21.75,1012.72,25,16,0
524,98107,97430,51408,528,3820.43,7.61,1012.72,12,17,10
365,82409,80692,30079,373,3820.43,3.99,1012.72,26,7,5
411,202952,181466,83413,460,3820.43,22.14,1012.72,8,4,4
384,1061149,949664,407481,429,3820.43,14.81,1012.72,8,8,0
359,773954,686111.45,277849,405,3820.43,7.01,1012.72,16,9,2
447,9664,9664,4320,447,3820.43,12.55,1012.72,23,17,6
323,166,166,54,325,3820.43,10.77,1012.72,2,11,9
377,358699,307099,135230,440,3820.43,16.42,1012.72,7,14,3
355,993244,851043,352602,414,3820.43,17.01,1012.72,18,10,3
322,1340280,1155301,431570,374,3820.43,31.28,1012.72,7,8,5
273,2188590,1951840,597485,306,3820.43,17.36,1012.72,5,8,3
231,492825,417069,113843,273,3820.43,12.86,1012.72,2,14,8
247,826273,626497,204089,326,3820.43,4.76,1012.72,11,8,8
330,35721,29424,11788,401,3820.43,6.88,1012.72,2,5,5
307,437800,344406,134405,390,3820.43,11.62,1012.72,10,4,3
249,155547,137189,38731,282,3820.43,11.1,1012.72,23,10,9
283,227823,211390,64474,305,3820.43,16.57,1012.72,21,14,3
276,188738,159115,52092,327,3820.43,10.94,1012.72,7,5,9
246,58779,56427,14460,256,3820.43,17.74,1012.72,22,4,5
186,548146,527467.84,101955,193,3820.43,16.36,1012.72,5,9,3
188,1487216,1388934,279597,201,3820.43,13.83,1012.72,30,9,7
221,1915595,1778497,423346,238,3820.43,29.46,1012.72,23,17,6
264,2680312,2494573,707602,284,3820.43,30.74,1012.72,19,8,5
225,2295050,1995808,516386,259,3820.43,19.85,1012.72,26,14,3
220,427665,349549,94086,269,3820.43,20.83,1012.72,23,13,5
314,1233566,1118544.15,387340,346,3820.43,19.65,1012.72,26,9,6
380,156585,144562,59502,412,3820.43,15.5,1012.72,1,11,0
276,200836,167891,55431,330,3820.43,14.55,1012.72,8,7,1
273,571584,499261,156042,313,3820.43,13.58,1012.72,11,2,9
233,2613671,2219943,608985,274,3820.43,23.25,1012.72,25,1,3
321,439854,411790,141193,343,3820.43,30.31,1012.72,13,7,1
332,926932,792879.66,307741,388,3820.43,16.32,1012.72,5,2,1
555,372601,367124,206794,563,3820.43,39.4,1012.72,2,11,9
410,833839,738948,341874,463,3820.43,45.62,1012.72,26,12,6
561,996249,969550,558896,576,3820.43,37.12,1012.72,21,6,6
376,366771,342051,137906,403,3820.43,28.45,1012.72,20,6,2
369,969599,857513,357782,417,3820.43,18.47,1012.72,25,10,7
722,118321,118321,85428,722,3820.43,53.26,1012.72,14,4,10
472,123092,119190,58099,487,3820.43,48.57,1012.72,5,16,9
675,290686,287140,196213,683,3820.43,49.16,1012.72,10,4,10
380,427797,390378,162563,416,3820.43,40.78,1012.72,15,5,4
319,1270394,1134017,405256,357,3820.43,12.82,1012.72,27,12,7
481,847955,793029.62,407866,514,3820.43,38.44,1012.72,6,10,5
333,67006,66012,22313,338,3820.43,15.99,1012.72,6,16,4
341,59132,58346,20164,346,3820.43,38.07,1012.72,22,15,5
316,74192,67418,23445,348,3820.43,27.04,1012.72,2,1,2
321,243644,213676,78210,366,3820.43,7.92,1012.72,14,16,10
603,67701,66523,40824,614,3820.43,36.17,1012.72,30,17,1
484,45630,45630,22085,484,3820.43,43.59,1012.72,5,5,6
600,334590,319467,200754,628,3820.43,42.72,1012.72,13,10,5
367,373243,364043,136980,376,3820.43,23.25,1012.72,9,3,10
413,438037,403826,180909,448,3820.43,31.78,1012.72,6,14,6
492,5073,5073,2496,492,3820.43,19.52,1012.72,26,13,8
445,349125,332726,155361,467,3820.43,28.34,1012.72,4,8,9
251,70736,66853,17755,266,3820.43,10.46,1012.72,15,2,3
331,134633,123278,44564,361,3820.43,23.78,1012.72,7,16,10
257,17613,16422,4527,276,3820.43,7.84,1012.72,26,1,7
313,303437,257509,94976,369,3820.43,20.1,1012.72,18,14,1
248,24535,23959,6085,254,3820.43,25.53,1012.72,22,16,7
493,4308,3824,2124,555,3820.43,41.32,1012.72,10,12,9
224,50757,47190,11370,241,3820.43,16.98,1012.72,23,6,6
312,119531,111391,37294,335,3820.43,26.17,1012.72,1,13,1
269,971285,746914,261276,350,3820.43,18.13,1012.72,23,1,6
317,468966,388689,148662,382,3820.43,23.74,1012.72,13,9,3
373,396984,348802,148075,425,3820.43,28.19,1012.72,11,10,6
400,113842,113390,45537,402,3820.43,28.53,1012.72,30,3,3
334,234318,226304,78262,346,3820.43,21.54,1012.72,11,8,3
290,71344,66835,20690,310,3820.43,13.37,1012.72,25,12,2
325,143908,138648,46770,337,3820.43,22.32,1012.72,1,13,5
237,247872,227315.27,58746,258,4001.96,13.88,1201.43,13,10,10
450,129407,128873,58233,452,4001.96,10.03,1201.43,28,6,4
463,13346,13004,6179,475,4001.96,15.72,1201.43,25,10,6
498,25754,21560,12825,595,4001.96,25.26,1201.43,17,9,9
513,120761,117997,61950,525,4001.96,7.73,1201.43,5,6,4
355,100423,88589,35650,402,4001.96,3.73,1201.43,11,2,3
373,199558,179276,74435,415,4001.96,24.79,1201.43,26,11,7
451,1215323,1116293,548111,491,4001.96,20.3,1201.43,24,14,10
315,825847,685162.77,260142,380,4001.96,9.33,1201.43,17,4,4
476,8336,8079,3968,491,4001.96,14.22,1201.43,8,2,5
449,1622,1622,728,449,4001.96,11.75,1201.43,25,3,8
493,354724,351542,174879,497,4001.96,19.24,1201.43,13,17,4
388,1180829,1025072,458162,447,4001.96,17.42,1201.43,19,3,3
342,1421078,1220508,486009,398,4001.96,28.12,1201.43,10,11,5
350,2121424,1790335,742498,415,4001.96,20.34,1201.43,13,14,6
318,495579,431418,157594,365,4001.96,15.78,1201.43,28,14,8
448,978722,907148,438467,483,4001.96,5.14,1201.43,18,11,8
324,41919,40660,13582,334,4001.96,4.66,1201.43,2,16,6
279,154724,128031,43168,337,4001.96,11.99,1201.43,8,13,10
237,292717,261272,69374,266,4001.96,14.03,1201.43,28,1,10
263,179965,145831,47331,325,4001.96,10.39,1201.43,8,9,2
324,270822,251480.85,87746,349,4001.96,18.81,1201.43,26,10,4
250,219531,176554,54883,311,4001.96,10.57,1201.43,19,17,8
275,59390,52216,16332,313,4001.96,16.69,1201.43,27,2,6
183,598162,523150.93,109464,209,4001.96,16.78,1201.43,29,15,6
239,393910,389039,94144,242,4001.96,22.97,1201.43,15,3,1
261,1309875,1285334,341877,266,4001.96,14.56,1201.43,21,6,5
281,2056803,1994196,577962,290,4001.96,31.31,1201.43,23,12,7
307,2741055,2556405,841504,329,4001.96,36.01,1201.43,18,17,10
245,2321749,2020499,568829,282,4001.96,21.85,1201.43,28,1,8
229,389477,316378,89190,282,4001.96,21.36,1201.43,4,17,10
259,1139742,1070038,295193,276,4001.96,21.39,1201.43,19,11,7
353,154093,143009,54395,380,4001.96,18.6,1201.43,21,15,6
243,276821,234689,67268,287,4001.96,16.93,1201.43,26,14,1
330,609234,545618,201047,368,4001.96,15.54,1201.43,25,12,5
237,2586144,2400939.64,612916,255,4001.96,27.63,1201.43,11,1,2
417,390363,383531,162781,424,4001.96,24.92,1201.43,18,1,6
346,886710,880553,306802,348,4001.96,19.84,1201.43,0,3,6
567,326035,323683,184862,571,4001.96,43.1,1201.43,8,5,5
580,826444,813759,479338,589,4001.96,46.36,1201.43,27,8,2
586,914048,889951,535632,602,4001.96,38.93,1201.43,1,10,2
439,353816,344547,155325,451,4001.96,31.67,1201.43,26,1,0
389,916561,875956,356542,407,4001.96,20.55,1201.43,27,9,3
793,113138,113033,89718,794,4001.96,56.76,1201.43,29,12,5
573,144531,142662,82816,581,4001.96,48.28,1201.43,22,17,7
679,298425,296179,202631,684,4001.96,53.2,1201.43,8,5,2
376,452091,424954,169986,400,4001.96,46.96,1201.43,4,13,9
248,680219,600160,168694,281,4001.96,14.05,1201.43,2,2,9
474,833393,780410,395028,506,4001.96,38.93,1201.43,8,0,8
279,703865,627295,196378,313,4001.96,22.64,1201.43,6,12,3
275,95728,89960,26325,293,4001.96,15.04,1201.43,2,4,3
293,51209,40915,15004,367,4001.96,38.65,1201.43,17,1,3
361,43711,42097,15780,375,4001.96,25.44,1201.43,1,13,7
258,188552,160108,48646,304,4001.96,14.75,1201.43,5,17,4
591,60350,59158,35667,603,4001.96,35.77,1201.43,12,0,5
542,37576,36873,20366,552,4001.96,46.52,1201.43,9,5,10
714,327481,324198,233821,721,4001.96,43.65,1201.43,13,5,3
314,363874,324443,114256,352,4001.96,23.06,1201.43,8,17,10
411,401152,373929,164873,441,4001.96,35.43,1201.43,15,2,0
488,3969,3969,1937,488,4001.96,17.64,1201.43,10,0,5
414,327086,311897,135414,434,4001.96,32.57,1201.43,28,3,9
264,62349,60011,16460,274,4001.96,18.09,1201.43,27,13,7
282,173424,164011,48906,298,4001.96,27.59,1201.43,18,5,10
275,20784,20012,5716,286,4001.96,6.4,1201.43,21,4,8
276,294517,274568,81287,296,4001.96,34.28,1201.43,20,8,3
280,21048,20110,5893,293,4001.96,36.06,1201.43,9,1,3
334,1170,985,391,397,4001.96,42.74,1201.43,24,5,6
